material_id,formula,mismatch_pct,E_ads_eV,S_lattice,S_adsorption,barrier_eV,S_diffusion,score_mode,score
mp-984,BN,0.451,-0.4449999928474426,0.9436,0.9629,,,pre_neb,0.9546
mp-12317,SrCN2,0.216,-0.4287000000476837,0.973,0.9384,,,pre_neb,0.9532
mp-1095532,VSiNi,0.845,-0.4799000024795532,0.8944,0.995,,,pre_neb,0.9519
mp-1224303,HfAl2Zn,0.895,-0.5054000020027161,0.8881,0.9996,,,pre_neb,0.9518
mp-22258,HfSiMo,0.888,-0.4850000143051147,0.889,0.9972,,,pre_neb,0.9508
mp-1102732,HfSiW,0.839,-0.5256999731063843,0.8951,0.9918,,,pre_neb,0.9504
mp-1218015,TaCoNi2,0.38,-0.566100001335144,0.9525,0.9468,,,pre_neb,0.9493
mp-979267,Ta2FeMo,0.962,-0.5037000179290771,0.8798,0.9998,,,pre_neb,0.9484
mp-1215241,ZrVFe,0.96,-0.5094000101089478,0.88,0.9989,,,pre_neb,0.9479
mp-1220476,NbAl2Ni9,0.463,-0.4368999898433685,0.9421,0.9514,,,pre_neb,0.9475
mp-850305,SrCaI4,0.049,-0.4138999879360199,0.9939,0.9115,,,pre_neb,0.9468
mp-2772,ZrAl2,0.971,-0.5134000182151794,0.8786,0.9978,,,pre_neb,0.9467
mp-1183216,AlCu3,0.895,-0.5286999940872192,0.8881,0.9898,,,pre_neb,0.9462
mp-1039570,CaMg2,0.761,-0.4569999873638153,0.9049,0.9772,,,pre_neb,0.9462
mp-861983,Ti2MnFe,0.073,-0.4140999913215637,0.9909,0.9119,,,pre_neb,0.9457
mp-21573,Ni21(SnB3)2,0.576,-0.5583000183105469,0.928,0.9584,,,pre_neb,0.9454
mp-1228032,AlSiMo6,0.956,-0.4769000113010406,0.8805,0.9934,,,pre_neb,0.945
mp-1211382,KSr2Cl5,0.851,-0.536899983882904,0.8936,0.9831,,,pre_neb,0.9448
mp-863690,Ti2MnCo,0.173,-0.4180000126361847,0.9784,0.9194,,,pre_neb,0.9447
mp-1222413,LiB3,0.681,-0.4474999904632568,0.9149,0.9661,,,pre_neb,0.9442
mp-1192512,Ta2(Ni7B2)3,1.007,-0.5169000029563904,0.8741,0.9964,,,pre_neb,0.944
mp-8307,CaNi4B,0.678,-0.553600013256073,0.9152,0.9647,,,pre_neb,0.9435
mp-603347,TiNi,0.55,-0.4375,0.9312,0.9523,,,pre_neb,0.9433
mp-1215704,Zr3Mn8Al,0.952,-0.4717999994754791,0.881,0.9901,,,pre_neb,0.9433
mp-1210179,Nb2(Ni7B2)3,0.972,-0.5257999897003174,0.8785,0.9917,,,pre_neb,0.9432
mp-1223824,Hf2Fe3Si,1.046,-0.5134000182151794,0.8692,0.9978,,,pre_neb,0.9427
mp-1228540,Al2VNi9,1.071,-0.4939000010490417,0.8661,0.9995,,,pre_neb,0.9424
mp-1077790,NbFe2,0.109,-0.4939000010490417,0.9864,0.9995,0.1782,0.8218,with_neb,0.9423
mp-1217985,Ta2MnV3,0.778,-0.5486000180244446,0.9028,0.9709,,,pre_neb,0.9417
mp-1813,Ba2Mg17,0.151,-0.4715000092983246,0.9811,0.9899,0.1622,0.8378,with_neb,0.9416
mp-1215554,Zr2FeCo3,0.401,-0.5267000198364258,0.9499,0.9911,0.1428,0.8572,with_neb,0.9386
mp-865930,TiZnCu2,0.976,-0.4641000032424927,0.878,0.984,,,pre_neb,0.9386
mp-7187,TiAlNi2,1.017,-0.4684999883174896,0.8729,0.9877,,,pre_neb,0.9385
mp-1017983,TiMo3,0.02,-0.4711999893188476,0.9975,0.9897,0.1901,0.8099,with_neb,0.9381
mp-601820,Fe3Co,0.699,-0.4404999911785126,0.9126,0.9567,,,pre_neb,0.9378
mp-1217923,TaNi6Mo,0.066,-0.5932999849319458,0.9918,0.8969,,,pre_neb,0.9375
mp-21457,Ti3Cu3O,0.986,-0.4616000056266784,0.8768,0.9817,,,pre_neb,0.9367
mp-571428,MgNi3B2,1.139,-0.4803999960422516,0.8576,0.9952,,,pre_neb,0.9362
mp-1213645,CsSrCl3,1.188,-0.4887999892234802,0.8515,0.9984,,,pre_neb,0.9355
mp-1183162,AlFe3,0.081,-0.4607000052928924,0.9899,0.9809,0.1818,0.8182,with_neb,0.9348
mp-2554,Al3V,0.82,-0.5565000176429749,0.8975,0.9609,,,pre_neb,0.9337
mp-556,ZrNi,1.24,-0.4955999851226806,0.845,0.9998,,,pre_neb,0.9334
mp-1208228,Ti3NbAl2,1.23,-0.4884000122547149,0.8462,0.9983,,,pre_neb,0.9331
mp-1215195,ZrUC2,1.262,-0.4896000027656555,0.8422,0.9986,,,pre_neb,0.9316
mp-1007855,FeNi3,0.781,-0.5622000098228455,0.9024,0.9528,,,pre_neb,0.9312
mp-1224402,HfAlMo,1.266,-0.5163000226020813,0.8418,0.9967,,,pre_neb,0.9303
mp-570287,Ta5Si3,0.002,-0.6022999882698059,0.9998,0.8774,,,pre_neb,0.9298
mp-1186381,Pa3Al,0.432,-0.5831999778747559,0.946,0.9171,,,pre_neb,0.9295
mp-1218008,Ta2Cr3Si,1.122,-0.5394999980926514,0.8598,0.9807,,,pre_neb,0.9289
mp-1220316,NbW,1.288,-0.4817999899387359,0.839,0.9959,,,pre_neb,0.9286
mp-22227,ZrMnSi,1.27,-0.5216000080108643,0.8412,0.9942,,,pre_neb,0.9286
mp-4500,ZrNbP,1.024,-0.4510999917984009,0.872,0.9706,,,pre_neb,0.9283
mp-977426,NbCo3,1.214,-0.4675000011920929,0.8482,0.9869,,,pre_neb,0.9275
mp-1079240,LiAl,0.612,-0.4228000044822693,0.9235,0.9282,,,pre_neb,0.9262
mp-1191401,HfFe2,1.12,-0.5447999835014343,0.86,0.9752,,,pre_neb,0.9258
mp-1216672,TiZnNi2,0.371,-0.4102999866008758,0.9536,0.9043,,,pre_neb,0.9254
mp-1206441,V5B6,1.276,-0.5303999781608582,0.8405,0.9885,,,pre_neb,0.9251
mp-569426,SrZn2,1.391,-0.4912999868392944,0.8261,0.9991,,,pre_neb,0.9249
mp-1102520,ZrSiMo,0.737,-0.5724999904632568,0.9079,0.9364,,,pre_neb,0.9242
mp-1193113,Ta3Cr3N,1.269,-0.5340999960899353,0.8414,0.9856,,,pre_neb,0.9238
mp-1217162,Ti2Co3Si,1.103,-0.5504999756813049,0.8621,0.9686,,,pre_neb,0.923
mp-2733,Al8Mo3,0.758,-0.4271999895572662,0.9052,0.9359,,,pre_neb,0.9228
mp-1221815,Mn3SiW2,1.349,-0.5267999768257141,0.8314,0.9911,,,pre_neb,0.9226
mp-568636,TiCr2,1.373,-0.5234000086784363,0.8284,0.9932,,,pre_neb,0.9225
mp-568671,V5Si3,0.436,-0.5892999768257141,0.9455,0.9051,,,pre_neb,0.9224
mp-1008632,V2C,1.286,-0.5353999733924866,0.8392,0.9845,,,pre_neb,0.9222
mp-10721,Ti2C,1.304,-0.5335000157356262,0.837,0.9861,,,pre_neb,0.9222
mp-867272,LiAlCu2,1.08,-0.4465999901294708,0.865,0.965,,,pre_neb,0.9221
mp-697075,Ti3Zn3N,1.372,-0.4744000136852264,0.8285,0.9918,,,pre_neb,0.9218
mp-305,TiFe,1.347,-0.52920001745224,0.8316,0.9894,,,pre_neb,0.9218
mp-1216231,VW,1.471,-0.5002999901771545,0.8161,1.0,,,pre_neb,0.9212
mp-1387,AlV3,0.051,-0.4864000082015991,0.9936,0.9977,0.2549,0.7451,with_neb,0.9207
mp-1215318,ZrAlCu,1.464,-0.4859000146389007,0.817,0.9975,,,pre_neb,0.9202
mp-862318,LiAl2Ni,1.441,-0.5199999809265137,0.8199,0.995,,,pre_neb,0.92
mp-862617,AcAl3,0.666,-0.4180000126361847,0.9168,0.9194,,,pre_neb,0.9183
mp-570608,ZrCr2,1.388,-0.4668999910354614,0.8265,0.9864,,,pre_neb,0.9179
mp-865,CaB6,1.522,-0.5095000267028809,0.8098,0.9989,,,pre_neb,0.9178
mp-27919,Ti8C5,1.104,-0.4419000148773193,0.862,0.9587,,,pre_neb,0.9172
mp-505472,Al3(Ni10B3)2,1.411,-0.4668999910354614,0.8236,0.9864,,,pre_neb,0.9166
mp-10464,CaF2,0.206,-0.3957000076770782,0.9742,0.8729,,,pre_neb,0.9163
mp-1179013,TiNi,1.574,-0.4930999875068664,0.8032,0.9994,,,pre_neb,0.9153
mp-20892,ZrFeP,0.712,-0.4169000089168548,0.911,0.9173,,,pre_neb,0.9146
mp-1185338,LiCu3,1.281,-0.451200008392334,0.8399,0.9707,,,pre_neb,0.9146
mp-4492,MnCo2Si,0.558,-0.4095000028610229,0.9302,0.9027,,,pre_neb,0.9145
mp-1221951,MgZnCu,0.899,-0.4251999855041504,0.8876,0.9325,,,pre_neb,0.9132
mp-567871,Nb5Si3,1.111,-0.5626999735832214,0.8611,0.952,,,pre_neb,0.9131
mp-1191280,Nb4V2Si5,1.477,-0.4650999903678894,0.8154,0.9849,,,pre_neb,0.9122
mp-1095124,TaCo3,1.266,-0.4465999901294708,0.8418,0.965,,,pre_neb,0.9122
mp-1014226,Zr3ZnN,0.586,-0.5913000106811523,0.9268,0.901,,,pre_neb,0.9121
mp-1220408,NbAlZn,1.057,-0.5679000020027161,0.8679,0.944,,,pre_neb,0.9114
mp-193,Zr2Cu,1.584,-0.5235999822616577,0.802,0.9931,,,pre_neb,0.9112
