material_id,formula,energy_above_hull,n_elements,formula_sta,stability_passed,stability_min_dE_eV,stability_details,best_miller,best_mismatch_pct,best_mismatch_a_pct,best_mismatch_b_pct,best_angle_diff_deg,lattice_details,formula_ads,best_coverage_ML,best_n_Li,best_E_clean_eV,best_E_ads_system_eV,best_E_ads_eV,best_ads_status,best_path,best_barrier_eV,best_neb_status,ranked_mismatch_pct,ranked_E_ads_eV,S_lattice,S_adsorption,ranked_barrier_eV,S_diffusion,score_mode,score,final_rank,final_decision
mp-641573,Cr21(MoC3)2,0.0,3,Cr21(MoC3)2,True,,稳定: min dE = -0.000 eV/atom,"(1, 1, 1)",0.22,0.22,0.22,58.62,"film(2,2) Li(5,5)",Cr21(MoC3)2,0.25,5.0,-2203.028076171875,-2214.4169921875,-0.5429999828338623,success,bridge_to_hollow,0.0010000000474974,success,0.22,-0.5429999828338623,0.9725,0.9772,0.001,0.999,with_neb,0.9823,14.0,入围：已完成综合评分
mp-629015,BN,0.001745425000001,2,BN,True,,稳定: min dE = -0.033 eV/atom,"(0, 0, 1)",0.388,0.388,0.388,58.62,"film(6,6) Li(5,5)",BN,0.25,1.0,-284.4389953613281,-286.6470031738281,-0.4740000069141388,success,top_to_bridge,0.0,success,0.388,-0.4740000069141388,0.9515,0.9916,0.0,1.0,with_neb,0.9821,15.0,入围：已完成综合评分
mp-686129,Li5TiN3,0.0,3,Li5TiN3,True,,稳定: min dE = -0.000 eV/atom,"(1, 1, 1)",0.472,0.309,0.472,39.5,"film(3,1) Li(8,7)",Li5TiN3,0.25,20.0,-9553.5419921875,-9598.3798828125,-0.5072000026702881,success,__skip__,0.0,skipped_repeated_hang,0.472,-0.5072000026702881,0.941,0.9994,0.0,1.0,with_neb,0.982,16.0,入围：已完成综合评分
mp-604884,BN,0.0,2,BN,True,,稳定: min dE = -0.033 eV/atom,"(0, 0, 1)",0.384,0.384,0.384,58.62,"film(6,6) Li(5,5)",BN,0.25,1.0,-284.4410095214844,-286.6440124511719,-0.4688000082969665,success,top_to_bridge,0.0,success,0.384,-0.4688000082969665,0.952,0.9879,0.0,1.0,with_neb,0.9808,17.0,入围：已完成综合评分
mp-862658,LiCu3,0.0,2,LiCu3,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.503,0.503,0.503,28.62,"film(5,5) Li(6,6)",LiCu3,0.25,1.0,-221.9759979248047,-224.18899536132807,-0.4788999855518341,success,bridge_to_hollow,0.0,success,0.503,-0.4788999855518341,0.9371,0.9945,0.0,1.0,with_neb,0.9789,18.0,入围：已完成综合评分
mp-22793,AlFe3C,0.0,3,AlFe3C,True,,稳定: min dE = -0.000 eV/atom,"(1, 1, 1)",0.08,0.08,0.08,28.62,"film(4,4) Li(5,5)",AlFe3C,0.25,1.0,-759.2520141601562,-761.5490112304688,-0.5619999766349792,success,bridge_to_hollow,0.0,success,0.08,-0.5619999766349792,0.99,0.9531,0.0,1.0,with_neb,0.9782,19.0,入围：已完成综合评分
mp-1192350,NbFe2,0.0054516375,2,NbFe2,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.02,0.02,0.02,58.62,"film(5,5) Li(8,8)",NbFe2,1.0,9.0,-859.7849731445312,-880.5,-0.5669999718666077,success,top_to_bridge,0.0,success,0.02,-0.5669999718666077,0.9975,0.9454,0.0,1.0,with_neb,0.9774,20.0,入围：已完成综合评分
mp-171,VNi3,0.0,2,VNi3,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.493,0.493,0.493,28.62,"film(6,6) Li(7,7)",VNi3,1.0,5.0,-317.5719909667969,-328.88800048828125,-0.5285999774932861,success,hollow_to_top,0.0,success,0.493,-0.5285999774932861,0.9384,0.9898,0.0,1.0,with_neb,0.9774,21.0,入围：已完成综合评分
mp-1216352,VFe3,0.072772875,2,VFe3,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.45,0.45,0.45,45.3,"film(6,6) Li(5,5)",VFe3,1.0,2.0,-270.4549865722656,-275.00201416015625,-0.5389999747276306,success,top_to_bridge,0.0,success,0.45,-0.5389999747276306,0.9438,0.9812,0.0,1.0,with_neb,0.9756,22.0,入围：已完成综合评分
mp-16336,Zr2Fe3Si,0.0,3,Zr2Fe3Si,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.503,0.503,0.503,58.62,"film(3,3) Li(5,5)",Zr2Fe3Si,1.0,10.0,-795.468017578125,-818.166015625,-0.535099983215332,success,top_to_bridge,0.0,success,0.503,-0.535099983215332,0.9371,0.9847,0.0,1.0,with_neb,0.975,23.0,入围：已完成综合评分
mp-569803,B2W,0.0,2,B2W,True,,稳定: min dE = -0.017 eV/atom,"(0, 0, 1)",0.682,0.682,0.682,58.62,"film(3,1) Li(3,1)",B2W,0.25,1.0,-417.18798828125,-419.4110107421875,-0.4889000058174133,success,top_to_bridge,0.0,success,0.682,-0.4889000058174133,0.9148,0.9985,0.0,1.0,with_neb,0.9738,24.0,入围：已完成综合评分
mp-1190681,ZrFe2,0.002467810833334,2,ZrFe2,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.39,0.39,0.39,58.62,"film(3,3) Li(5,5)",ZrFe2,1.0,10.0,-822.1480102539062,-844.9879760742188,-0.5493000149726868,success,top_to_bridge,0.0,success,0.39,-0.5493000149726868,0.9512,0.9701,0.0,1.0,with_neb,0.9734,25.0,入围：已完成综合评分
mp-2213,FeNi,0.0,2,FeNi,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.668,0.668,0.668,28.62,"film(6,6) Li(5,5)",FeNi,1.0,6.0,-331.1860046386719,-344.71099853515625,-0.519599974155426,success,top_to_bridge,0.0,success,0.668,-0.519599974155426,0.9165,0.9952,0.0,1.0,with_neb,0.973,26.0,入围：已完成综合评分
mp-861991,PaMn2Al,0.0,3,PaMn2Al,True,,稳定: min dE = 0.000 eV/atom,"(1, 0, 0)",0.736,0.736,0.736,28.62,"film(2,2) Li(3,3)",PaMn2Al,1.0,7.0,-377.8160095214844,-393.3810119628906,-0.4887999892234802,success,bridge_to_hollow,0.0,success,0.736,-0.4887999892234802,0.908,0.9984,0.0,1.0,with_neb,0.9718,27.0,入围：已完成综合评分
mp-973904,HfCr2,0.092995653749998,2,HfCr2,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.586,0.586,0.586,58.62,"film(3,3) Li(5,5)",HfCr2,0.25,2.0,-920.7670288085938,-925.1589965820312,-0.460999995470047,success,top_to_bridge,0.0,success,0.586,-0.460999995470047,0.9268,0.9812,0.0,1.0,with_neb,0.9705,28.0,入围：已完成综合评分
mp-1218003,TaAl2Ni9,0.0,3,TaAl2Ni9,True,,稳定: min dE = 0.000 eV/atom,"(0, 0, 1)",0.325,0.325,0.325,28.62,"film(5,5) Li(6,6)",TaAl2Ni9,1.0,6.0,-292.7090148925781,-305.75799560546875,-0.440200001001358,success,top_to_bridge,0.0,success,0.325,-0.440200001001358,0.9594,0.9563,0.0,1.0,with_neb,0.9703,29.0,入围：已完成综合评分
mp-1185312,LiCu3,0.006164229999999,2,LiCu3,True,,稳定: min dE = -0.000 eV/atom,"(1, 1, 1)",0.648,0.648,0.648,28.62,"film(5,5) Li(6,6)",LiCu3,1.0,6.0,-280.2850036621094,-293.4859924316406,-0.4656000137329101,success,bridge_to_hollow,0.0003000000142492,success,0.648,-0.4656000137329101,0.919,0.9853,0.0003,0.9997,with_neb,0.9697,30.0,入围：已完成综合评分
mp-1067,LiAl,0.0,2,LiAl,True,,稳定: min dE = -0.044 eV/atom,"(1, 0, 0)",0.519,0.519,0.519,28.62,"film(2,2) Li(3,3)",LiAl,1.0,7.0,-131.947998046875,-147.84300231933594,-0.5360000133514404,success,top_to_bridge,0.0313000008463859,success,0.519,-0.5360000133514404,0.9351,0.9839,0.0313,0.9687,with_neb,0.9647,31.0,入围：已完成综合评分
