material_id,formula,passed,min_dE_eV,details
mp-748,Ti5O9,False,,材料本身不稳定（不在凸包上）
mp-680570,Ti5P3,False,,材料本身不稳定（不在凸包上）
mp-767002,Ti5PO11,False,,材料本身不稳定（不在凸包上）
mp-1208223,Ti5S8,False,,与 Li 反应: min dE = -0.507 eV/atom
mp-1217163,Ti5S8,False,,与 Li 反应: min dE = -0.507 eV/atom
mp-1217166,Ti5S8,False,,与 Li 反应: min dE = -0.507 eV/atom
mp-1217445,Ti5S8,False,,与 Li 反应: min dE = -0.507 eV/atom
mp-11765,Ti5Se4,False,,与 Li 反应: min dE = -0.328 eV/atom
mp-2647026,Ti5Si,False,,材料本身不稳定（不在凸包上）
mp-2108,Ti5Si3,True,,稳定: min dE = -0.000 eV/atom
mp-995201,Ti5Si3C,True,,稳定: min dE = 0.000 eV/atom
mp-505527,Ti5Si4,True,,稳定: min dE = -0.015 eV/atom
mp-20847,Ti5Sn3,False,,与 Li 反应: min dE = -0.132 eV/atom
mp-1208220,Ti5Sn3Au,False,,材料本身不稳定（不在凸包上）
mp-7498,Ti5Te4,False,,与 Li 反应: min dE = -0.368 eV/atom
mp-1208221,Ti5Te8,False,,与 Li 反应: min dE = -0.536 eV/atom
mp-675920,Ti6AgS12,False,,与 Li 反应: min dE = -0.617 eV/atom
mp-1192877,Ti6Al16Co7,False,,材料本身不稳定（不在凸包上）
mp-1208277,Ti6Al16Fe7,False,,材料本身不稳定（不在凸包上）
mp-865235,Ti6Al16Ni7,True,,稳定: min dE = -0.000 eV/atom
mp-28913,Ti6CCl14,False,,与 Li 反应: min dE = -0.558 eV/atom
mp-672677,Ti6Co16Si7,True,,稳定: min dE = -0.000 eV/atom
mp-769418,Ti6Fe8O21,False,,材料本身不稳定（不在凸包上）
mp-1191976,Ti6H2O13,False,,材料本身不稳定（不在凸包上）
mp-554098,Ti6O,True,,稳定: min dE = -0.000 eV/atom
mp-882,Ti6O,True,,稳定: min dE = -0.000 eV/atom
mp-30524,Ti6O11,False,,材料本身不稳定（不在凸包上）
mp-559964,Ti6O11,False,,材料本身不稳定（不在凸包上）
mp-1217052,Ti6P2O,True,,稳定: min dE = -0.049 eV/atom
mp-11750,Ti6Si2B,True,,稳定: min dE = -0.000 eV/atom
mp-3337,Ti6Si7Ni16,True,,稳定: min dE = -0.000 eV/atom
mp-20382,Ti6Sn5,False,,与 Li 反应: min dE = -0.161 eV/atom
mp-568232,Ti6Sn5,False,,与 Li 反应: min dE = -0.161 eV/atom
mp-1101106,Ti7(Fe3O8)3,False,,材料本身不稳定（不在凸包上）
mp-677097,Ti7(Fe3O8)3,False,,材料本身不稳定（不在凸包上）
mp-851115,Ti7(WO5)6,False,,材料本身不稳定（不在凸包上）
mp-15397,Ti7Al2O15,False,,材料本身不稳定（不在凸包上）
mp-540672,Ti7Br16,False,,与 Li 反应: min dE = -0.603 eV/atom
mp-540671,Ti7Cl16,False,,与 Li 反应: min dE = -0.616 eV/atom
mp-851094,Ti7Cr12O48,False,,材料本身不稳定（不在凸包上）
mp-1101107,Ti7Fe13O30,False,,材料本身不稳定（不在凸包上）
mp-685365,Ti7Fe13O30,False,,材料本身不稳定（不在凸包上）
mp-556724,Ti7O13,False,,材料本身不稳定（不在凸包上）
mp-1191079,Ti7P4,True,,稳定: min dE = -0.013 eV/atom
mp-673657,Ti7S12,False,,与 Li 反应: min dE = -0.548 eV/atom
mp-761118,Ti7Sn3O20,False,,材料本身不稳定（不在凸包上）
mp-1217090,Ti8C5,True,,稳定: min dE = -0.000 eV/atom
mp-27919,Ti8C5,True,,稳定: min dE = -0.000 eV/atom
mp-1217065,Ti8Cu3Ni,True,,稳定: min dE = -0.000 eV/atom
mp-676402,Ti8Cu3S16,False,,材料本身不稳定（不在凸包上）
mp-1217048,Ti8N5,False,,材料本身不稳定（不在凸包上）
mp-752989,Ti8O13,False,,材料本身不稳定（不在凸包上）
mp-565700,Ti8O15,False,,材料本身不稳定（不在凸包上）
mp-680850,Ti8S3,False,,材料本身不稳定（不在凸包上）
mp-679962,Ti8Se3,False,,材料本身不稳定（不在凸包上）
mp-27273,Ti9O17,False,,材料本身不稳定（不在凸包上）
mp-673637,Ti9S10,False,,材料本身不稳定（不在凸包上）
