material_id,formula,energy_above_hull,n_elements
mp-1592,Ag2Te,0.0,2
mp-32811,Ag2Te,0.041975696666664,2
mp-684798,Ag2Te,0.036063812500003005,2
mp-685048,Ag2Te,0.062930146666666,2
mp-13211,Ag2Te2O7,0.0015637927272740002,3
mp-561380,Ag2Te4O11,0.014898403823534,3
mp-18068,Ag2TeO3,0.049155812222223004,3
mp-1178564,Ag2TeO4,0.08717196214285501,3
mp-558768,Ag2TeO4,0.0,3
mp-755598,Ag2TeO4,0.08790711142856901,3
mp-893071,Ag2TeO4,0.08824774714285501,3
mp-29163,Ag2TeS3,0.0,3
mp-32537,Ag2W2O7,0.032762061136363,3
mp-504466,Ag2WO4,0.038722113035714004,3
mp-637188,Ag2WO4,0.04146752428571401,3
mp-990091,Ag2WS4,0.09290130491071401,3
mp-36383,Ag3(PO4)2,0.0,3
mp-1183137,Ag3Au,0.0,2
mp-1183205,Ag3Au,0.011570367499999,2
mp-1183214,Ag3Au,0.00041002749999900003,2
mp-27554,Ag3AuS2,0.02572308083333,3
mp-34460,Ag3AuS2,0.025584143333329003,3
mp-34982,Ag3AuS2,0.041562618333330005,3
mp-3172,Ag3AuSe2,0.0,3
mp-1194638,Ag3B5O9,0.007357592022056001,3
mp-27816,Ag3BO3,0.06813990955357001,3
mp-561550,Ag3BO3,0.015885402410713,3
mp-562412,Ag3F8,0.0,2
mp-27819,Ag3O,0.020161739583333,2
mp-1605,Ag3O4,0.0,2
mp-27821,Ag3P11,0.0,2
mp-1199654,Ag3P3O10,0.06065232651043,3
mp-1229128,Ag3PO4,0.0,3
mp-4198,Ag3PO4,0.00248806125,3
mp-12459,Ag3PS4,0.0,3
mp-30908,Ag3PSe4,0.00609484575893,3
mp-1105645,Ag3SBr,0.09831240649999601,3
mp-1229116,Ag3SBr,0.063698640999996,3
mp-36600,Ag3SBr,0.068296385999996,3
mp-1173025,Ag3SI,0.08667530199999601,3
mp-22995,Ag3SI,0.066818196999996,3
mp-632480,Ag3SI,0.073682232999996,3
mp-673825,Ag3SI,0.08476500199999601,3
mp-674981,Ag3SI,0.077225024999996,3
mp-675879,Ag3SI,0.07550974299999601,3
mp-676121,Ag3SI,0.073934319999996,3
mp-676561,Ag3SI,0.077612204999996,3
mp-1183249,Ag3Se,0.07060601083333301,2
mp-611,Ag3Sn,0.013177481250000001,2
mp-29849,Ag3SnP7,0.0,3
mp-5710,Ag3Te2Au,0.0,3
mp-1229219,Ag3Te32Au13,0.004225167656265,3
mp-27482,Ag4P2S7,0.0065854319230790005,3
mp-1195808,Ag4Sn3S8,0.007910371833334,3
mp-554357,Ag4TeO5,0.0,3
mp-530464,Ag5(Sn3S8)2,0.026250193622685002,3
mp-1247859,Ag5Au3S4,0.024723359444447,3
mp-1247860,Ag5Au3S4,0.07933439361111601,3
mp-554648,Ag5IO6,0.008831117500000001,3
mp-1215016,Ag5Te2Br,0.0008414449999990001,3
mp-569467,Ag5Te2Cl,0.00042171398437600003,3
mp-573465,Ag5Te2Cl,0.0,3
mp-1205440,Ag6Mo10O33,0.016982136836732,3
mp-504579,Ag6Mo10O33,0.017118704795916,3
mp-1229161,Ag6P6O19,0.0816654194086,3
mp-34787,Ag7NO11,0.0050050273684040004,3
mp-37695,Ag7NO11,0.0,3
mp-683910,Ag7P3S11,0.019160843571428002,3
mp-1197032,Ag7PS6,0.0034787733928540003,3
mp-8594,Ag7PSe6,0.0,3
mp-15645,Ag8SnS6,0.0,3
mp-17984,Ag8SnSe6,0.0,3
mp-676260,Ag9Te4Br3,0.062398398437499,3
mp-1183227,AgAu,0.016448837500007002,2
mp-1229092,AgAu,0.00107321250001,2
mp-1183224,AgAu3,0.0017489875000000002,2
mp-863750,AgAu3,0.0,2
mp-985287,AgAu3,0.011180219999999,2
mp-570340,AgAuCl4,0.0,3
mp-16060,AgAuF4,0.0,3
mp-1196161,AgAuF7,0.0,3
mp-996977,AgAuO2,0.0342497,3
mp-996980,AgAuO2,0.013503406249999001,3
mp-996983,AgAuO2,0.0,3
mp-776165,AgAuO3,0.059424401833331,3
mp-1194753,AgB3O5,0.018237387291663,3
mp-12021,AgBF4,0.0,3
mp-5160,AgBF5,0.0,3
mp-559803,AgBO2,0.009954755390622001,3
mp-780275,AgBO3,0.08524003049999801,3
mp-2034510,AgBr,0.000270794999998,2
mp-23231,AgBr,0.0,2
mp-570301,AgBr,0.07204439,2
mp-866291,AgBr,0.030505370000000004,2
mp-1178562,AgBrO3,0.0016533185833330002,3
mp-755991,AgBrO4,0.079046415902778,3
mp-756139,AgBrO4,0.041394544652778004,3
mp-756342,AgBrO4,0.056934868819445004,3
mp-753176,AgCO3,0.004634585999996,3
mp-1536202,AgCl,0.000369929999999,2
mp-22922,AgCl,0.0,2
mp-570687,AgCl,0.01127005,2
mp-570858,AgCl,0.028544702499999002,2
mp-1178561,AgClO3,0.092817574499997,3
mp-27941,AgClO3,0.038284726499997,3
mp-775761,AgClO3,0.031584152499997,3
mp-776199,AgClO3,0.048604945499998005,3
mp-1101933,AgClO4,0.043705578333332,3
mp-1191267,AgClO4,0.025500877083332003,3
mp-22993,AgClO4,0.0,3
mp-2903321,AgClO4,0.007686925833334001,3
mp-7592,AgF,0.0,2
mp-2284,AgF2,0.0,2
mp-7715,AgF2,0.034467127499999,2
mp-18536,AgF3,0.0,2
mp-769355,AgH3O2,0.09536077083333201,3
mp-769295,AgH8O5,0.07935912767856901,3
mp-769296,AgH9O5,0.078660414416666,3
mp-2016808,AgHO2,0.08298241328125,3
mp-996958,AgHO2,0.0,3
mp-22894,AgI,0.002613874999997,2
mp-22919,AgI,0.095016919999999,2
mp-22925,AgI,0.0024065550000000003,2
mp-567809,AgI,0.006419075000000001,2
mp-580941,AgI,0.0,2
mp-684580,AgI,0.0038585250000000002,2
mp-33154,AgI2,0.012244965000000002,2
mp-1194592,AgI3O8,0.0,3
mp-1195485,AgI3O8,0.00037514812500000005,3
mp-1202188,AgIO3,0.010943250000000002,3
mp-27384,AgIO3,0.0,3
mp-849271,AgIO3,0.027469873500000002,3
mp-30037,AgIO4,0.061401049907407,3
mp-680482,AgMo6Br13,0.011573592249998,3
mp-1214988,AgMo6Cl13,0.0,3
mp-5770,AgNO2,0.076440554444446,3
mp-996960,AgNO2,0.06939017819444601,3
mp-552185,AgNO3,0.0,3
mp-638686,AgNO3,0.002379382500001,3
mp-669466,AgNO3,0.005029588000001001,3
mp-8196,AgNO3,0.031171343000002003,3
mp-1065190,AgO,0.0055116425,2
mp-1066856,AgO,0.008719264999999001,2
mp-1079720,AgO,0.042348117499999005,2
mp-1288,AgO,0.047180410624999,2
mp-2803876,AgO,0.0,2
mp-499,AgO,0.0026362224999990002,2
mp-997028,AgO2F,0.033700647395832,3
mp-997101,AgO2F,0.021616529895832,3
mp-1195243,AgP15,0.016388745912699003,2
mp-8200,AgP2,0.0009195113636370001,2
mp-34418,AgPF6,0.0,3
mp-18702,AgPO3,0.0,3
mp-775762,AgPO3,0.045444828500007,3
mp-1352343,AgPO4,0.038990599097220004,3
mp-5470,AgPS3,0.004740131833317,3
mp-1006372,AgSO4,0.011683758124999001,3
mp-1183033,AgSO4,0.033839688020833,3
mp-1196324,AgSO4,0.0,3
mp-1199508,AgSO4,0.043336760520833004,3
mp-2763322,AgSO4,0.0,3
mp-379,AgSe,0.020151804414062002,2
mp-569052,AgSe3I,0.01609162759375,3
mp-10809,AgSnF6,0.0,3
mp-755834,AgSnO3,0.091669975999994,3
mp-1229005,AgSnS2,0.081720575833333,3
mp-1229011,AgSnSe2,0.0,3
mp-1229006,AgSnTe2,0.036413949687499,3
mp-568761,AgTe,0.000641469999997,2
mp-1229041,AgTe3,0.058839224999999,2
mp-28246,AgTe3,0.018577228125,2
mp-3291,AgTe4Au,0.0,3
mp-558637,AgTeO3,0.020474349750000002,3
mp-559257,AgTeO3,0.0,3
mp-561489,AgTeO3,0.020124158499999,3
mp-29718,AgW3Br7,0.0,3
mp-28586,AgXeF9,0.018940843882570002,3
mp-675325,Al(Ag3S2)3,0.054541445937498004,3
mp-1214959,Al(Ag3Se2)3,0.0,3
mp-569787,Al(BH4)3,0.0,3
mp-753184,Al(CoO2)2,0.031937336071441,3
mp-1045074,Al(CoO2)3,0.065447495714295,3
mp-10010,Al(CoSi)2,0.015228510000012001,3
mp-7692,Al(CrB)2,0.0,3
mp-3805,Al(FeB)2,0.0,3
mp-1293197,Al(FeO2)2,0.038653382142854006,3
mp-505623,Al(FeO2)2,0.05578656071428201,3
mp-1182949,Al(HO)3,0.045463657142857,3
mp-1193404,Al(HO)3,0.08584925142857,3
mp-27540,Al(HO)3,0.021218486428571003,3
mp-37836,Al(HO)3,0.036156979285713,3
mp-554002,Al(HO)3,0.027042323571428002,3
